customerid;longitude_gps;latitude_gps;edad;bank_account_type_Current;bank_account_type_Other;bank_account_type_Savings;bank_name_clients_Access Bank;bank_name_clients_Diamond Bank;bank_name_clients_EcoBank;bank_name_clients_FCMB;bank_name_clients_Fidelity Bank;bank_name_clients_First Bank;bank_name_clients_GT Bank;bank_name_clients_Heritage Bank;bank_name_clients_Keystone Bank;bank_name_clients_Skye Bank;bank_name_clients_Stanbic IBTC;bank_name_clients_Standard Chartered;bank_name_clients_Sterling Bank;bank_name_clients_UBA;bank_name_clients_Union Bank;bank_name_clients_Unity Bank;bank_name_clients_Wema Bank;bank_name_clients_Zenith Bank;bank_branch_clients_ IDI - ORO MUSHIN;bank_branch_clients_17, SANUSI FAFUNWA STREET, VICTORIA ISLAND, LAGOS;bank_branch_clients_40,SAPELE ROAD ,OPPOSITE DUMAZ JUNCTION BENIN CITY EDO STATE.;bank_branch_clients_47 LAGOS ROAD, IKORODU;bank_branch_clients_ABEOKUTA;bank_branch_clients_ABULE EGBA;bank_branch_clients_ABULE EGBA U-TURN,BRANCH;bank_branch_clients_ACCESS BANK PLC, CHALLENGE ROUNDABOUT IBADAN, OYO STATE.;bank_branch_clients_ADENIRAN OGUNSANYA;bank_branch_clients_ADEOLA HOPEWELL;bank_branch_clients_AJOSE ADEOGUN;bank_branch_clients_AKOWONJO;bank_branch_clients_AKURE BRANCH;bank_branch_clients_AKUTE;bank_branch_clients_ALAUSA;bank_branch_clients_APAPA;bank_branch_clients_AWOLOWO;bank_branch_clients_BOSSO ROAD, MINNA;bank_branch_clients_DUGBE, IBADAN;bank_branch_clients_DUGBE,IBADAN;bank_branch_clients_GBAGADA;bank_branch_clients_HEAD OFFICE;bank_branch_clients_HERITAGE BANK, DUGBE, IBADAN;bank_branch_clients_ILUPEJU;bank_branch_clients_LADIPO;bank_branch_clients_LAGOS;bank_branch_clients_LEKKI EPE;bank_branch_clients_MAFOLUKU;bank_branch_clients_MEDICAL ROAD IKEJA;bank_branch_clients_MUSHIN BRANCH;bank_branch_clients_OAU ILE IFE;bank_branch_clients_OBA ADEBIMPE;bank_branch_clients_OBA AKRAN;bank_branch_clients_OBA AKRAN BERGER PAINT;bank_branch_clients_OBA AKRAN ROAD, IKEJA,;bank_branch_clients_OGBA;bank_branch_clients_OGUDU, OJOTA;bank_branch_clients_OJUELEGBA;bank_branch_clients_OREGUN;bank_branch_clients_PLOT 999C DANMOLE STREET, ADEOLA ODEKU, VICTORIA ISLAND, LAGOS;bank_branch_clients_RING ROAD;bank_branch_clients_STERLING BANK PLC 102, IJU ROAD, IFAKO BRANCH;bank_branch_clients_TINCAN;bank_branch_clients_TRANS AMADI;bank_branch_clients_UNKNOWN;bank_branch_clients_WHARF ROAD, APAPA;employment_status_clients_Contract;employment_status_clients_Permanent;employment_status_clients_Retired;employment_status_clients_Self-Employed;employment_status_clients_Student;employment_status_clients_UNKNOWN;employment_status_clients_Unemployed;level_of_education_clients_Graduate;level_of_education_clients_Post-Graduate;level_of_education_clients_Primary;level_of_education_clients_Secondary;level_of_education_clients_UNKNOWN;loannumber;loanamount;totaldue;termdays;referredby;good_bad_flag;times_loaned;times_late;times_referred
8a858ff25a6a19ee015a6abff5ed659c;7.5078362;9.0483723;33;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;4;10000.0;13000.0;30;0;1;3.0;3.0;0.0
8a858e6c5c88d145015c894de1a91c5c;3.363275;7.1455067;34;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;10000.0;13000.0;30;0;1;1.0;0.0;0.0
8a858eb45876dcc501587dae11f2283e;6.9744361;4.8113433;33;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;7;10000.0;13000.0;30;0;0;6.0;4.0;0.0
8a858f2f54e28d530154ecdd303004fa;3.4784832;6.4420013;38;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3;10000.0;13000.0;30;0;1;2.0;0.0;0.0
8a858f6c570f2d660157238b0c4a1bdd;7.0408905;5.7946838;31;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;8;25000.0;27500.0;30;0;1;7.0;1.0;0.0
8a85893d542e18bc01542e37365c120a;3.3639265;7.1380483;34;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;7;30000.0;39000.0;60;0;1;6.0;3.0;0.0
8a8588f35438fe12015444567666018e;11.1393496;10.2920413;37;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;7;20000.0;22250.0;15;0;1;6.0;3.0;0.0
8a858f275c451af5015c49a2c43b5fb2;3.2987679;6.6817293;36;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;10000.0;13000.0;30;1;1;1.0;0.0;1.0
8a858e2155defefd0155e12953ee00a1;8.00851;4.54539;32;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;11;40000.0;44000.0;30;0;1;10.0;2.0;0.0
8a858e4b5a7f868b015a80f3822d505b;3.3920645;6.5083683;34;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;6;20000.0;24000.0;30;0;1;5.0;3.0;0.0
8a858f125c5f88b1015c603d2810428c;7.0481835;4.8426899;38;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;10000.0;13000.0;30;0;1;1.0;0.0;0.0
8a858ee75a6156c0015a635f394a5f79;3.9395519;7.4118193;39;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;7;30000.0;34500.0;30;0;1;6.0;1.0;0.0
8a858f445d41ebbe015d50c105334acc;3.2148502;6.538267;35;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;2;10000.0;11500.0;15;0;1;1.0;0.0;0.0
8a858f285d3ca5c4015d3cbb1f94073a;7.0358424;4.8050149;44;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;10000.0;11500.0;15;0;1;1.0;0.0;0.0
8a858f225bfdb280015c108bf6f53281;3.3343336;6.5223702;34;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;10000.0;13000.0;30;0;1;1.0;1.0;0.0
8a858f7e564ad338015654d3a5c242a5;8.6713276;9.0830135;33;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;8;30000.0;34500.0;30;0;1;7.0;0.0;0.0
8a858ea4582fcdc80158338316a258e3;5.1889972;7.2826919;42;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;10;30000.0;34500.0;30;0;1;9.0;3.0;0.0
8a858f3c5c16cadb015c177e274650b9;5.7936891;5.5584987;45;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;10000.0;13000.0;30;0;1;1.0;0.0;0.0
8a858ec555f82a230155f92ff37d0b31;7.4104488;9.1078476;39;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;12;50000.0;52500.0;30;0;1;11.0;3.0;0.0
8a858f255cb1710a015cb56393f60d1b;3.319583;6.5694544;49;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;10000.0;13000.0;30;0;1;1.0;0.0;0.0
8a858f6f5b3f095b015b4083532532a0;3.516056;6.6697184;30;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;10000.0;13000.0;30;0;1;1.0;0.0;0.0
8a858fa257d8223c0157e7e6ce253dd8;7.5113568;9.1255927;33;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;3;10000.0;13000.0;30;0;1;2.0;2.0;0.0
8a858f335cd0c78e015cd435d7192800;2.957738;6.5342122;40;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;10000.0;11500.0;15;0;1;1.0;0.0;0.0
8a858953548fb0c001549b31ac5f6dda;3.3767344;6.5477946;37;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;13;10000.0;11000.0;30;0;1;12.0;2.0;0.0
8a858eba5b681df4015b7b63e6ed6a23;3.4229723;6.4652291;33;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;4;10000.0;11500.0;15;1;1;3.0;1.0;3.0
8a858ee55cb156e6015cb650b14467f0;5.6085082;6.4026569;27;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;2;10000.0;11500.0;15;0;1;1.0;0.0;0.0
8a858f9157f7b9670157fa9d4e7546e0;7.3977534;5.1088625;47;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;10000.0;13000.0;30;0;1;1.0;1.0;0.0
8a85883353d0c4e90153dfca251168bc;7.3592521;9.0401384;33;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;9;30000.0;34500.0;30;0;0;8.0;4.0;0.0
8a858fa55acd8061015ad15eb8b47940;8.3475513;4.9696443;32;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;4;20000.0;24500.0;30;0;1;3.0;1.0;0.0
8a8589a053acc39e0153b217f3d031cb;7.3814717;9.170555;34;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;9;30000.0;33000.0;30;0;1;8.0;0.0;0.0
8a858e2e5bb57a37015bbe3c1af53cac;3.57922;7.9863467;32;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;3;20000.0;24500.0;30;0;1;2.0;0.0;0.0
8a8588c9548a33b201548b3cdb0f0c53;-117.8225091;33.883619;32;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;2;10000.0;13000.0;30;0;0;1.0;1.0;0.0
8a858e345bd96da8015bdcde39b37570;5.6301086;6.3376363;38;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;3;10000.0;13000.0;30;0;1;2.0;2.0;0.0
8a858e0f5c45466f015c4a6560255de7;3.3281894;6.4662308;38;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;3;10000.0;13000.0;30;0;1;2.0;0.0;0.0
8a858fe758dc437a0158e524adb32ae2;7.4659083;9.0777383;32;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;11;40000.0;44000.0;30;0;1;10.0;1.0;0.0
8a858e185b4923b4015b4ae48d28646a;3.3965242;6.6279429;34;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;4;10000.0;11500.0;15;0;1;3.0;1.0;0.0
8a858f725be8d4ff015bec5207ce5524;3.334732;7.1176565;36;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;3;10000.0;13000.0;30;1;0;2.0;2.0;2.0
8a858e2c5cc64f70015cc942825e71ae;3.3831598;6.6290094;36;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;2;10000.0;13000.0;30;1;1;1.0;0.0;1.0
